 96, 15;
 96, 16;
 95, 17;
 95, 18;
 92, 21;
 92, 22;
 88, 26;
 88, 27;
 86, 29;
 86, 30;
 82, 34;
 82, 35;
 81, 36;
 81, 37;
 78, 40;
 78, 41;
 76, 43;
 76, 44;
 75, 45;
 75, 46;
 73, 48;
 73, 49;
 72, 50;
 72, 51;
 71, 52;
 71, 53;
 70, 54;
 70, 55;
 68, 57;
 68, 58;
 67, 59;
 67, 60;
 66, 61;
 66, 62;
 65, 63;
 65, 64;
 64, 65;
 64, 67;
 63, 68;
 63, 69;
 62, 70;
 62, 71;
 61, 72;
 61, 73;
 60, 74;
 60, 76;
 59, 77;
 59, 78;
 58, 79;
 58, 81;
 57, 82;
 57, 83;
 56, 84;
 56, 85;
 55, 86;
 55, 88;
 54, 89;
 54, 91;
 53, 92;
 53, 94;
 52, 95;
 52, 97;
 51, 98;
 51, 99;
 50, 100;
 50, 102;
 49, 103;
 49, 106;
 48, 107;
 48, 110;
 47, 111;
 47, 114;
 46, 115;
 46, 118;
 45, 119;
 45, 125;
 44, 126;
 44, 133;
 43, 134;
 43, 160;
 44, 161;
 44, 169;
 45, 170;
 45, 176;
 46, 177;
 46, 180;
 47, 181;
 47, 185;
 48, 186;
 48, 190;
 49, 191;
 49, 194;
 50, 195;
 50, 197;
 51, 198;
 51, 201;
 52, 202;
 52, 204;
 53, 205;
 53, 207;
 54, 208;
 54, 210;
 55, 211;
 55, 212;
 56, 213;
 56, 215;
 57, 216;
 57, 217;
 58, 218;
 58, 219;
 59, 220;
 59, 221;
 60, 222;
 60, 223;
 61, 224;
 61, 225;
 62, 226;
 62, 227;
 63, 228;
 63, 229;
 65, 231;
 65, 232;
 66, 233;
 66, 234;
 67, 235;
 67, 236;
 69, 238;
 69, 239;
 70, 240;
 70, 241;
 72, 243;
 72, 244;
 75, 247;
 75, 248;
 77, 250;
 77, 251;
 81, 255;
 81, 256;
 86, 261;
 86, 262;
 93, 269;
 93, 270;
 103, 280;
 103, 281;
 104, 281;
 107, 284;
 107, 285;
 110, 288;
 111, 288;
 113, 290;
 113, 291;
 114, 292;
 115, 292;
 119, 296;
 119, 297;
 120, 297;
 131, 308;
 132, 308;
 149, 325;
 149, 326;
 153, 330;
 153, 331;
 156, 334;
 156, 335;
 159, 338;
 159, 339;
 160, 340;
 160, 341;
 162, 343;
 162, 344;
 164, 346;
 164, 347;
 165, 348;
 165, 349;
 166, 350;
 166, 351;
 168, 353;
 168, 354;
 169, 355;
 169, 356;
 170, 357;
 170, 359;
 171, 360;
 171, 361;
 172, 362;
 172, 363;
 173, 364;
 173, 365;
 174, 366;
 174, 369;
 175, 370;
 175, 372;
 176, 373;
 176, 375;
 177, 376;
 177, 380;
 178, 381;
 178, 384;
 179, 385;
 179, 393;
 180, 394;
 180, 402;
 179, 403;
 179, 409;
 178, 410;
 178, 413;
 177, 414;
 177, 416;
 176, 417;
 176, 419;
 175, 420;
 175, 422;
 174, 423;
 174, 424;
 173, 425;
 173, 426;
 172, 427;
 172, 428;
 171, 429;
 172, 428;
 172, 427;
 173, 426;
 173, 425;
 174, 424;
 174, 423;
 175, 422;
 175, 420;
 176, 419;
 176, 417;
 177, 416;
 177, 414;
 178, 413;
 178, 410;
 179, 409;
 179, 403;
 180, 402;
 180, 394;
 179, 393;
 179, 385;
 178, 384;
 178, 381;
 177, 380;
 177, 376;
 176, 375;
 176, 373;
 175, 372;
 175, 370;
 174, 369;
 174, 366;
 173, 365;
 173, 364;
 172, 363;
 172, 362;
 171, 361;
 171, 360;
 170, 359;
 170, 357;
 169, 356;
 169, 355;
 168, 354;
 168, 353;
 167, 352;
 167, 351;
 165, 349;
 165, 348;
 164, 347;
 164, 346;
 163, 345;
 163, 344;
 161, 342;
 161, 341;
 159, 339;
 159, 338;
 158, 337;
 158, 336;
 155, 333;
 155, 332;
 152, 329;
 152, 328;
 148, 324;
 148, 323;
 138, 313;
 137, 313;
 135, 311;
 135, 310;
 134, 309;
 133, 309;
 127, 303;
 126, 303;
 124, 301;
 124, 300;
 122, 298;
 121, 298;
 118, 295;
 118, 294;
 117, 293;
 116, 293;
 106, 283;
 106, 282;
 105, 282;
 102, 279;
 102, 278;
 92, 268;
 92, 267;
 85, 260;
 85, 259;
 84, 258;
 83, 258;
 81, 256;
 81, 254;
 76, 249;
 76, 248;
 74, 246;
 74, 245;
 71, 242;
 71, 241;
 69, 239;
 69, 238;
 68, 237;
 68, 236;
 66, 234;
 66, 233;
 65, 232;
 65, 231;
 64, 230;
 64, 229;
 62, 227;
 62, 226;
 61, 225;
 61, 224;
 60, 223;
 60, 222;
 59, 221;
 59, 220;
 58, 219;
 58, 218;
 57, 217;
 57, 216;
 56, 215;
 56, 213;
 55, 212;
 55, 211;
 54, 210;
 54, 208;
 53, 207;
 53, 205;
 52, 204;
 52, 202;
 51, 201;
 51, 198;
 50, 197;
 50, 195;
 49, 194;
 49, 191;
 48, 190;
 48, 186;
 47, 185;
 47, 181;
 46, 180;
 46, 177;
 45, 176;
 45, 170;
 44, 169;
 44, 161;
 43, 160;
 43, 134;
 44, 133;
 44, 126;
 45, 125;
 45, 119;
 46, 118;
 46, 115;
 47, 114;
 47, 111;
 48, 110;
 48, 107;
 49, 106;
 49, 103;
 50, 102;
 50, 100;
 51, 99;
 51, 98;
 52, 97;
 52, 95;
 53, 94;
 53, 92;
 54, 91;
 54, 89;
 55, 88;
 55, 86;
 56, 85;
 56, 84;
 57, 83;
 57, 82;
 58, 81;
 58, 79;
 59, 78;
 59, 77;
 60, 76;
 60, 74;
 61, 73;
 61, 72;
 62, 71;
 62, 70;
 63, 69;
 63, 68;
 64, 67;
 64, 65;
 65, 64;
 65, 63;
 66, 62;
 66, 61;
 67, 60;
 67, 59;
 69, 57;
 69, 56;
 70, 55;
 70, 54;
 71, 53;
 71, 52;
 72, 51;
 72, 50;
 74, 48;
 74, 47;
 75, 46;
 75, 45;
 77, 43;
 77, 42;
 80, 39;
 80, 38;
 81, 37;
 81, 36;
 85, 32;
 85, 31;
 87, 29;
 87, 28;
 91, 24;
 91, 23;
 95, 19;
 95, 17;
 97, 15;
 100, 18;
 100, 20;
 94, 26;
 94, 27;
 91, 30;
 91, 31;
 87, 35;
 87, 36;
 86, 37;
 86, 38;
 83, 41;
 83, 42;
 81, 44;
 81, 45;
 79, 47;
 79, 48;
 77, 50;
 77, 51;
 76, 52;
 76, 53;
 75, 54;
 75, 55;
 73, 57;
 73, 58;
 72, 59;
 72, 60;
 71, 61;
 71, 62;
 70, 63;
 70, 65;
 69, 66;
 69, 67;
 68, 68;
 68, 69;
 67, 70;
 67, 71;
 66, 72;
 66, 73;
 65, 74;
 65, 76;
 64, 77;
 64, 78;
 63, 79;
 63, 81;
 62, 82;
 62, 83;
 61, 84;
 61, 85;
 60, 86;
 60, 88;
 59, 89;
 59, 90;
 58, 91;
 58, 93;
