 349, 747;
 348, 746;
 338, 746;
 337, 745;
 329, 745;
 328, 744;
 320, 744;
 319, 743;
 313, 743;
 312, 742;
 308, 742;
 307, 741;
 303, 741;
 302, 740;
 298, 740;
 297, 739;
 294, 739;
 293, 738;
 290, 738;
 289, 737;
 286, 737;
 285, 736;
 282, 736;
 281, 735;
 279, 735;
 278, 734;
 276, 734;
 275, 733;
 272, 733;
 271, 732;
 269, 732;
 268, 731;
 266, 731;
 265, 730;
 263, 730;
 262, 729;
 260, 729;
 259, 728;
 257, 728;
 256, 727;
 254, 727;
 253, 726;
 252, 726;
 251, 725;
 249, 725;
 248, 724;
 246, 724;
 245, 723;
 244, 723;
 243, 722;
 241, 722;
 240, 721;
 239, 721;
 238, 720;
 236, 720;
 235, 719;
 234, 719;
 233, 718;
 232, 718;
 231, 717;
 229, 717;
 228, 716;
 227, 716;
 226, 715;
 225, 715;
 224, 714;
 223, 714;
 222, 713;
 220, 713;
 219, 712;
 218, 712;
 217, 711;
 216, 711;
 215, 710;
 214, 710;
 213, 709;
 211, 709;
 210, 708;
 209, 708;
 207, 706;
 206, 706;
 205, 705;
 204, 705;
 203, 704;
 202, 704;
 201, 703;
 200, 703;
 199, 702;
 198, 702;
 197, 701;
 196, 701;
 195, 700;
 194, 700;
 193, 699;
 191, 699;
 190, 698;
 189, 698;
 187, 696;
 186, 696;
 185, 695;
 184, 695;
 183, 694;
 182, 694;
 181, 693;
 180, 693;
 179, 692;
 178, 692;
 177, 691;
 176, 691;
 175, 690;
 174, 690;
 172, 688;
 171, 688;
 170, 687;
 169, 687;
 168, 686;
 167, 686;
 166, 685;
 165, 685;
 164, 684;
 163, 684;
 162, 683;
 161, 683;
 160, 682;
 159, 682;
 157, 680;
 156, 680;
 155, 679;
 154, 679;
 153, 678;
 152, 678;
 151, 677;
 150, 677;
 149, 676;
 148, 676;
 147, 675;
 146, 675;
 145, 674;
 144, 674;
 142, 672;
 141, 672;
 140, 671;
 139, 671;
 138, 670;
 137, 670;
 136, 669;
 135, 669;
 134, 668;
 133, 668;
 131, 666;
 130, 666;
 129, 665;
 128, 665;
 127, 664;
 126, 664;
 124, 662;
 123, 662;
 122, 661;
 121, 661;
 119, 659;
 118, 659;
 117, 658;
 116, 658;
 115, 657;
 114, 657;
 113, 656;
 112, 656;
 110, 654;
 109, 654;
 108, 653;
 107, 653;
 106, 652;
 105, 652;
 103, 650;
 102, 650;
 101, 649;
 100, 649;
 98, 647;
 97, 647;
 96, 646;
 95, 646;
 94, 645;
 93, 645;
 92, 644;
 91, 644;
 89, 642;
 88, 642;
 87, 641;
 86, 641;
 85, 640;
 84, 640;
 83, 639;
 82, 639;
 80, 637;
 79, 637;
 78, 636;
 77, 636;
 75, 634;
 74, 634;
 72, 632;
 71, 632;
 70, 631;
 69, 631;
 68, 630;
 67, 630;
 66, 629;
 65, 629;
 64, 628;
 63, 628;
 61, 626;
 60, 626;
 59, 625;
 58, 625;
 57, 624;
 56, 624;
 55, 623;
 54, 623;
 53, 622;
 52, 622;
 51, 621;
 49, 621;
 48, 620;
 47, 620;
 45, 618;
 44, 618;
 43, 617;
 42, 617;
 41, 616;
 40, 616;
 39, 615;
 38, 615;
 37, 614;
 36, 614;
 35, 613;
 34, 613;
 33, 612;
 32, 612;
 31, 611;
 30, 611;
 29, 610;
 28, 610;
 27, 609;
 26, 609;
 25, 608;
 24, 608;
 23, 607;
 21, 607;
 20, 606;
 19, 606;
 18, 605;
 17, 605;
 16, 604;
 15, 604;
 14, 603;
 13, 603;
 12, 602;
 11, 602;
 10, 601;
 9, 601;
 8, 600;
 6, 600;
 5, 599;
 4, 599;
 3, 598;
 0, 598;
 3, 598;
 4, 599;
 5, 599;
 6, 600;
 8, 600;
 9, 601;
 10, 601;
 11, 602;
 12, 602;
 13, 603;
 14, 603;
 15, 604;
 16, 604;
 17, 605;
 19, 605;
 21, 607;
 23, 607;
 24, 608;
 25, 608;
